onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.1136	1	1	1	1	0.5	1	0	0	1
21.941	1	2	1	1	0.5	1	0	0	0
36.912	1	3	1	1	0.5	1	1	0	0
49.562	1	4	1	1	0.5	1	0	0	0
56.123	1	5	1	1	0.5	1	0	0	0
72.17	1	6	3	1	0.5	-1	0	1	0
90.081	1	7	3	1	0.5	-1	0	0	0
106.1	1	8	3	1	0.5	-1	1	0	0
117.82	1	9	3	1	0.5	-1	0	0	0
126.13	1	10	3	1	0.5	-1	0	0	0
142.18	1	11	2	1	0.5	1	1	0	0
157.59	1	12	2	1	0.5	1	0	0	0
169.74	1	13	2	1	0.5	1	0	1	0
181.58	1	14	2	1	0.5	1	0	0	0
188.49	1	15	2	1	0.5	1	0	0	0
204.53	1	16	4	1	0.5	-1	0	0	1
221.55	1	17	4	1	0.5	-1	0	0	0
239.91	1	18	4	1	0.5	-1	1	0	0
251.29	1	19	4	1	0.5	-1	0	0	0
257.51	1	20	4	1	0.5	-1	0	0	0
273.55	1	21	2	2	0	1	1	0	0
288.43	1	22	2	2	0	1	0	0	0
305.52	1	23	2	2	0	1	0	1	0
319.35	1	24	2	2	0	1	0	0	0
325.76	1	25	2	2	0	1	0	0	0
341.8	1	26	3	2	0	1	0	1	0
355.83	1	27	3	2	0	1	0	0	0
368.59	1	28	3	2	0	1	0	0	1
379.95	1	29	3	2	0	1	0	0	0
386.29	1	30	3	2	0	1	0	0	0
402.33	1	31	1	2	0	1	0	0	1
421.76	1	32	1	2	0	1	0	0	0
434.53	1	33	1	2	0	1	1	0	0
445.77	1	34	1	2	0	1	0	0	0
452.29	1	35	1	2	0	1	0	0	0
468.33	1	36	4	2	0	1	0	0	1
484.53	1	37	4	2	0	1	0	0	0
502.86	1	38	4	2	0	1	0	1	0
515.12	1	39	4	2	0	1	0	0	0
522.37	1	40	4	2	0	1	0	0	0
538.41	1	41	1	3	-0.25	1	0	0	1
556.76	1	42	1	3	-0.25	1	0	0	0
570.74	1	43	1	3	-0.25	1	1	0	0
582.05	1	44	1	3	-0.25	1	0	0	0
588.07	1	45	1	3	-0.25	1	0	0	0
604.12	1	46	4	3	-0.25	1	0	0	1
619	1	47	4	3	-0.25	1	0	0	0
638.12	1	48	4	3	-0.25	1	0	1	0
649.51	1	49	4	3	-0.25	1	0	0	0
654.79	1	50	4	3	-0.25	1	0	0	0
