onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0981	1	1	1	1	0.5	1	1	0	0
21.057	1	2	1	1	0.5	1	0	0	0
32.894	1	3	1	1	0.5	1	0	1	0
44.085	1	4	1	1	0.5	1	0	0	0
50.844	1	5	1	1	0.5	1	0	0	0
66.865	1	6	3	1	0.5	-1	0	1	0
81.554	1	7	3	1	0.5	-1	0	0	0
93.093	1	8	3	1	0.5	-1	0	0	1
104.2	1	9	3	1	0.5	-1	0	0	0
110.91	1	10	3	1	0.5	-1	0	0	0
126.93	1	11	2	1	0.5	1	0	0	1
141.15	1	12	2	1	0.5	1	0	0	0
157.42	1	13	2	1	0.5	1	1	0	0
168.99	1	14	2	1	0.5	1	0	0	0
175.5	1	15	2	1	0.5	1	0	0	0
191.52	1	16	4	1	0.5	-1	0	1	0
205.66	1	17	4	1	0.5	-1	0	0	0
221.98	1	18	4	1	0.5	-1	1	0	0
232.95	1	19	4	1	0.5	-1	0	0	0
238.93	1	20	4	1	0.5	-1	0	0	0
254.95	1	21	2	2	0	1	0	0	1
268.7	1	22	2	2	0	1	0	0	0
284.96	1	23	2	2	0	1	1	0	0
296.13	1	24	2	2	0	1	0	0	0
302.31	1	25	2	2	0	1	0	0	0
318.33	1	26	3	2	0	-1	0	1	0
331.53	1	27	3	2	0	-1	0	0	0
343.25	1	28	3	2	0	-1	0	0	1
354.41	1	29	3	2	0	-1	0	0	0
360.26	1	30	3	2	0	-1	0	0	0
376.27	1	31	1	2	0	1	1	0	0
394.56	1	32	1	2	0	1	0	0	0
406.53	1	33	1	2	0	1	0	1	0
417.64	1	34	1	2	0	1	0	0	0
425.16	1	35	1	2	0	1	0	0	0
441.18	1	36	4	2	0	1	0	1	0
454.98	1	37	4	2	0	1	0	0	0
471.31	1	38	4	2	0	1	0	0	1
482.32	1	39	4	2	0	1	0	0	0
488.81	1	40	4	2	0	1	0	0	0
504.85	1	41	1	3	-0.25	1	1	0	0
524.19	1	42	1	3	-0.25	1	0	0	0
535.95	1	43	1	3	-0.25	1	0	1	0
546.84	1	44	1	3	-0.25	1	0	0	0
552.16	1	45	1	3	-0.25	1	0	0	0
568.2	1	46	4	3	-0.25	1	0	1	0
581.72	1	47	4	3	-0.25	1	0	0	0
593.84	1	48	4	3	-0.25	1	0	0	1
604.95	1	49	4	3	-0.25	1	0	0	0
610.48	1	50	4	3	-0.25	1	0	0	0
