onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0324	3	1	7	1	0.5	1	0	0	1
19.496	3	2	7	1	0.5	1	0	0	0
36.373	3	3	7	1	0.5	1	0	1	0
47.233	3	4	7	1	0.5	1	0	0	0
52.697	3	5	7	1	0.5	1	0	0	0
68.741	3	6	8	1	0.5	-1	0	1	0
87.436	3	7	8	1	0.5	-1	0	0	0
98.992	3	8	8	1	0.5	-1	0	0	1
110.03	3	9	8	1	0.5	-1	0	0	0
115.88	3	10	8	1	0.5	-1	0	0	0
131.92	3	11	6	3	-0.25	1	0	0	1
145.08	3	12	6	3	-0.25	1	0	0	0
156.4	3	13	6	3	-0.25	1	0	1	0
167.4	3	14	6	3	-0.25	1	0	0	0
172.83	3	15	6	3	-0.25	1	0	0	0
188.87	3	16	5	3	-0.25	1	1	0	0
206.62	3	17	5	3	-0.25	1	0	0	0
222.46	3	18	5	3	-0.25	1	0	0	1
233.31	3	19	5	3	-0.25	1	0	0	0
239.39	3	20	5	3	-0.25	1	0	0	0
255.44	3	21	8	2	0	1	0	1	0
274.66	3	22	8	2	0	1	0	0	0
285.99	3	23	8	2	0	1	1	0	0
296.89	3	24	8	2	0	1	0	0	0
302.29	3	25	8	2	0	1	0	0	0
318.34	3	26	7	2	0	1	0	0	1
336.77	3	27	7	2	0	1	0	0	0
353.13	3	28	7	2	0	1	0	1	0
363.89	3	29	7	2	0	1	0	0	0
369.29	3	30	7	2	0	1	0	0	0
385.33	3	31	8	3	-0.25	1	0	1	0
403.63	3	32	8	3	-0.25	1	0	0	0
415.22	3	33	8	3	-0.25	1	1	0	0
426.04	3	34	8	3	-0.25	1	0	0	0
431.16	3	35	8	3	-0.25	1	0	0	0
447.2	3	36	7	3	-0.25	1	0	0	1
465.83	3	37	7	3	-0.25	1	0	0	0
481.88	3	38	7	3	-0.25	1	0	1	0
492.68	3	39	7	3	-0.25	1	0	0	0
497.81	3	40	7	3	-0.25	1	0	0	0
513.85	3	41	5	4	-0.375	1	1	0	0
532.73	3	42	5	4	-0.375	1	0	0	0
548.56	3	43	5	4	-0.375	1	0	0	1
559.52	3	44	5	4	-0.375	1	0	0	0
565.1	3	45	5	4	-0.375	1	0	0	0
581.15	3	46	6	4	-0.375	1	0	0	1
594.62	3	47	6	4	-0.375	1	0	0	0
607.02	3	48	6	4	-0.375	1	0	1	0
617.8	3	49	6	4	-0.375	1	0	0	0
623.31	3	50	6	4	-0.375	1	0	0	0
