onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0247	2	1	3	3	-0.25	-1	0	1	0
16.04	2	2	3	3	-0.25	-1	0	0	0
29.154	2	3	3	3	-0.25	-1	1	0	0
40.842	2	4	3	3	-0.25	-1	0	0	0
46.688	2	5	3	3	-0.25	-1	0	0	0
62.713	2	6	2	3	-0.25	1	1	0	0
78.062	2	7	2	3	-0.25	1	0	0	0
95.536	2	8	2	3	-0.25	1	0	1	0
107.04	2	9	2	3	-0.25	1	0	0	0
112.86	2	10	2	3	-0.25	1	0	0	0
128.9	2	11	4	4	-0.375	1	0	0	1
143.6	2	12	4	4	-0.375	1	0	0	0
160.79	2	13	4	4	-0.375	1	0	1	0
172.83	2	14	4	4	-0.375	1	0	0	0
179.02	2	15	4	4	-0.375	1	0	0	0
195.06	2	16	5	1	0.5	1	0	0	1
215.02	2	17	5	1	0.5	1	0	0	0
232.94	2	18	5	1	0.5	1	0	1	0
244.48	2	19	5	1	0.5	1	0	0	0
250.05	2	20	5	1	0.5	1	0	0	0
266.09	2	21	1	4	-0.375	1	0	0	1
285.03	2	22	1	4	-0.375	1	0	0	0
297.85	2	23	1	4	-0.375	1	1	0	0
309.79	2	24	1	4	-0.375	1	0	0	0
315.28	2	25	1	4	-0.375	1	0	0	0
331.33	2	26	6	1	0.5	-1	0	1	0
346.24	2	27	6	1	0.5	-1	0	0	0
358.96	2	28	6	1	0.5	-1	0	0	1
370.63	2	29	6	1	0.5	-1	0	0	0
376.97	2	30	6	1	0.5	-1	0	0	0
393.02	2	31	2	4	-0.375	1	1	0	0
407.72	2	32	2	4	-0.375	1	0	0	0
424.81	2	33	2	4	-0.375	1	0	1	0
436.4	2	34	2	4	-0.375	1	0	0	0
441.72	2	35	2	4	-0.375	1	0	0	0
457.74	2	36	3	4	-0.375	-1	0	1	0
471.93	2	37	3	4	-0.375	-1	0	0	0
485.08	2	38	3	4	-0.375	-1	1	0	0
496.75	2	39	3	4	-0.375	-1	0	0	0
503.06	2	40	3	4	-0.375	-1	0	0	0
519.1	2	41	5	2	0	1	0	0	1
538.71	2	42	5	2	0	1	0	0	0
556.18	2	43	5	2	0	1	0	1	0
567.95	2	44	5	2	0	1	0	0	0
573.95	2	45	5	2	0	1	0	0	0
589.99	2	46	6	2	0	1	0	1	0
604.83	2	47	6	2	0	1	0	0	0
617.56	2	48	6	2	0	1	1	0	0
629.43	2	49	6	2	0	1	0	0	0
635.46	2	50	6	2	0	1	0	0	0
