onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0257	2	1	3	3	-0.25	1	0	1	0
15.112	2	2	3	3	-0.25	1	0	0	0
27.049	2	3	3	3	-0.25	1	1	0	0
38.256	2	4	3	3	-0.25	1	0	0	0
44.716	2	5	3	3	-0.25	1	0	0	0
60.758	2	6	2	3	-0.25	1	0	0	1
74.116	2	7	2	3	-0.25	1	0	0	0
90.596	2	8	2	3	-0.25	1	1	0	0
101.74	2	9	2	3	-0.25	1	0	0	0
107.5	2	10	2	3	-0.25	1	0	0	0
123.54	2	11	4	4	-0.375	1	0	1	0
137.6	2	12	4	4	-0.375	1	0	0	0
153.91	2	13	4	4	-0.375	1	0	0	1
164.79	2	14	4	4	-0.375	1	0	0	0
170.53	2	15	4	4	-0.375	1	0	0	0
186.58	2	16	5	1	0.5	1	1	0	0
204.59	2	17	5	1	0.5	1	0	0	0
220.86	2	18	5	1	0.5	1	0	0	1
232.2	2	19	5	1	0.5	1	0	0	0
239.9	2	20	5	1	0.5	1	0	0	0
255.94	2	21	1	4	-0.375	1	1	0	0
274.44	2	22	1	4	-0.375	1	0	0	0
286.26	2	23	1	4	-0.375	1	0	1	0
297.73	2	24	1	4	-0.375	1	0	0	0
303.43	2	25	1	4	-0.375	1	0	0	0
319.47	2	26	6	1	0.5	-1	0	0	1
333.24	2	27	6	1	0.5	-1	0	0	0
344.47	2	28	6	1	0.5	-1	1	0	0
356.07	2	29	6	1	0.5	-1	0	0	0
361.74	2	30	6	1	0.5	-1	0	0	0
377.78	2	31	2	4	-0.375	1	0	0	1
391.5	2	32	2	4	-0.375	1	0	0	0
407.73	2	33	2	4	-0.375	1	1	0	0
418.96	2	34	2	4	-0.375	1	0	0	0
424.29	2	35	2	4	-0.375	1	0	0	0
440.33	2	36	3	4	-0.375	1	0	1	0
454.15	2	37	3	4	-0.375	1	0	0	0
466.46	2	38	3	4	-0.375	1	1	0	0
477.51	2	39	3	4	-0.375	1	0	0	0
482.6	2	40	3	4	-0.375	1	0	0	0
498.64	2	41	5	2	0	1	1	0	0
516.87	2	42	5	2	0	1	0	0	0
533.02	2	43	5	2	0	1	0	0	1
543.88	2	44	5	2	0	1	0	0	0
550.06	2	45	5	2	0	1	0	0	0
566.1	2	46	6	2	0	1	0	0	1
579.71	2	47	6	2	0	1	0	0	0
591.29	2	48	6	2	0	1	0	1	0
602.5	2	49	6	2	0	1	0	0	0
607.68	2	50	6	2	0	1	0	0	0
