onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.1237	1	1	1	1	0.5	1	1	0	0
20.29	1	2	1	1	0.5	1	0	0	0
32.442	1	3	1	1	0.5	1	0	1	0
45.174	1	4	1	1	0.5	1	0	0	0
51.022	1	5	1	1	0.5	1	0	0	0
67.067	1	6	3	1	0.5	-1	0	1	0
84.98	1	7	3	1	0.5	-1	0	0	0
96.784	1	8	3	1	0.5	-1	0	0	1
107.99	1	9	3	1	0.5	-1	0	0	0
119.21	1	10	3	1	0.5	-1	0	0	0
135.26	1	11	2	1	0.5	1	0	0	1
156.19	1	12	2	1	0.5	1	0	0	0
172.78	1	13	2	1	0.5	1	1	0	0
188	1	14	2	1	0.5	1	0	0	0
194.23	1	15	2	1	0.5	1	0	0	0
210.27	1	16	4	1	0.5	-1	0	1	0
225.07	1	17	4	1	0.5	-1	0	0	0
241.63	1	18	4	1	0.5	-1	1	0	0
253.17	1	19	4	1	0.5	-1	0	0	0
259.33	1	20	4	1	0.5	-1	0	0	0
275.38	1	21	2	2	0	-1	0	0	1
291.17	1	22	2	2	0	-1	0	0	0
308.16	1	23	2	2	0	-1	0	1	0
319.83	1	24	2	2	0	-1	0	0	0
326.31	1	25	2	2	0	-1	0	0	0
342.36	1	26	3	2	0	1	0	1	0
359.06	1	27	3	2	0	1	0	0	0
370.71	1	28	3	2	0	1	1	0	0
381.89	1	29	3	2	0	1	0	0	0
389.49	1	30	3	2	0	1	0	0	0
405.54	1	31	1	2	0	1	1	0	0
427.65	1	32	1	2	0	1	0	0	0
439.17	1	33	1	2	0	1	0	1	0
450.86	1	34	1	2	0	1	0	0	0
456.57	1	35	1	2	0	1	0	0	0
472.62	1	36	4	2	0	-1	0	1	0
487.2	1	37	4	2	0	-1	0	0	0
503.34	1	38	4	2	0	-1	1	0	0
514.93	1	39	4	2	0	-1	0	0	0
522.87	1	40	4	2	0	-1	0	0	0
538.91	1	41	1	3	-0.25	1	1	0	0
556.61	1	42	1	3	-0.25	1	0	0	0
568.47	1	43	1	3	-0.25	1	0	1	0
579.74	1	44	1	3	-0.25	1	0	0	0
585.72	1	45	1	3	-0.25	1	0	0	0
601.76	1	46	4	3	-0.25	1	0	1	0
616.46	1	47	4	3	-0.25	1	0	0	0
632.69	1	48	4	3	-0.25	1	0	0	1
643.92	1	49	4	3	-0.25	1	0	0	0
649.31	1	50	4	3	-0.25	1	0	0	0
