onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0172	2	1	3	3	-0.25	1	0	1	0
16.132	2	2	3	3	-0.25	1	0	0	0
27.82	2	3	3	3	-0.25	1	0	0	1
39.193	2	4	3	3	-0.25	1	0	0	0
44.957	2	5	3	3	-0.25	1	0	0	0
60.999	2	6	2	3	-0.25	1	1	0	0
75.07	2	7	2	3	-0.25	1	0	0	0
91.633	2	8	2	3	-0.25	1	0	1	0
103.25	2	9	2	3	-0.25	1	0	0	0
108.87	2	10	2	3	-0.25	1	0	0	0
124.89	2	11	4	4	-0.375	1	0	0	1
139.3	2	12	4	4	-0.375	1	0	0	0
156.37	2	13	4	4	-0.375	1	0	1	0
168.29	2	14	4	4	-0.375	1	0	0	0
175.17	2	15	4	4	-0.375	1	0	0	0
191.21	2	16	5	1	0.5	1	0	0	1
211.48	2	17	5	1	0.5	1	0	0	0
228.59	2	18	5	1	0.5	1	0	1	0
240.99	2	19	5	1	0.5	1	0	0	0
247.35	2	20	5	1	0.5	1	0	0	0
263.4	2	21	1	4	-0.375	1	0	0	1
283.4	2	22	1	4	-0.375	1	0	0	0
296.23	2	23	1	4	-0.375	1	1	0	0
308.34	2	24	1	4	-0.375	1	0	0	0
314.17	2	25	1	4	-0.375	1	0	0	0
330.21	2	26	6	1	0.5	-1	0	1	0
344.98	2	27	6	1	0.5	-1	0	0	0
357.63	2	28	6	1	0.5	-1	0	0	1
369.05	2	29	6	1	0.5	-1	0	0	0
375.64	2	30	6	1	0.5	-1	0	0	0
391.68	2	31	2	4	-0.375	1	1	0	0
406.5	2	32	2	4	-0.375	1	0	0	0
424.06	2	33	2	4	-0.375	1	0	1	0
435.1	2	34	2	4	-0.375	1	0	0	0
441.34	2	35	2	4	-0.375	1	0	0	0
457.37	2	36	3	4	-0.375	1	0	1	0
472.09	2	37	3	4	-0.375	1	0	0	0
485.22	2	38	3	4	-0.375	1	0	0	1
496.44	2	39	3	4	-0.375	1	0	0	0
502.27	2	40	3	4	-0.375	1	0	0	0
518.3	2	41	5	2	0	1	0	0	1
537.86	2	42	5	2	0	1	0	0	0
556.61	2	43	5	2	0	1	0	1	0
568.15	2	44	5	2	0	1	0	0	0
573.96	2	45	5	2	0	1	0	0	0
590	2	46	6	2	0	1	0	1	0
606.34	2	47	6	2	0	1	0	0	0
617.98	2	48	6	2	0	1	1	0	0
629.64	2	49	6	2	0	1	0	0	0
637.41	2	50	6	2	0	1	0	0	0
