onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0298	4	1	9	1	0.5	-1	1	0	0
14.37	4	2	9	1	0.5	-1	0	0	0
22.958	4	3	9	1	0.5	-1	0	1	0
33.038	4	4	9	1	0.5	-1	0	0	0
38.353	4	5	9	1	0.5	-1	0	0	0
57.375	4	6	10	1	0.5	-1	0	1	0
67.754	4	7	10	1	0.5	-1	0	0	0
79.061	4	8	10	1	0.5	-1	1	0	0
91.628	4	9	10	1	0.5	-1	0	0	0
96.959	4	10	10	1	0.5	-1	0	0	0
115.98	4	11	7	4	-0.375	1	0	0	1
129.05	4	12	7	4	-0.375	1	0	0	0
140.37	4	13	7	4	-0.375	1	0	1	0
150.76	4	14	7	4	-0.375	1	0	0	0
155.31	4	15	7	4	-0.375	1	0	0	0
174.34	4	16	8	4	-0.375	-1	0	1	0
190.67	4	17	8	4	-0.375	-1	0	0	0
199.47	4	18	8	4	-0.375	-1	0	0	1
210.27	4	19	8	4	-0.375	-1	0	0	0
215.65	4	20	8	4	-0.375	-1	0	0	0
234.67	4	21	9	2	0	0	1	0	0
247.7	4	22	9	2	0	0	0	0	0
256.6	4	23	9	2	0	0	0	0	1
267.31	4	24	9	2	0	0	0	0	0
273.64	4	25	9	2	0	0	0	0	0
292.66	4	26	10	2	0	0	0	1	0
307.72	4	27	10	2	0	0	0	0	0
318.58	4	28	10	2	0	0	1	0	0
330.71	4	29	10	2	0	0	0	0	0
336.11	4	30	10	2	0	0	0	0	0
355.13	4	31	9	3	0	0	1	0	0
376.5	4	32	9	3	0	0	0	0	0
384.87	4	33	9	3	0	0	0	1	0
395.24	4	34	9	3	0	0	0	0	0
401.11	4	35	9	3	0	0	0	0	0
420.14	4	36	10	3	0	0	0	1	0
430.18	4	37	10	3	0	0	0	0	0
441.47	4	38	10	3	0	0	0	0	1
451.97	4	39	10	3	0	0	0	0	0
457.53	4	40	10	3	0	0	0	0	0
476.56	4	41	9	4	0	0	1	0	0
490.23	4	42	9	4	0	0	0	0	0
498.95	4	43	9	4	0	0	0	0	1
512.25	4	44	9	4	0	0	0	0	0
518.36	4	45	9	4	0	0	0	0	0
537.38	4	46	10	4	0	0	0	1	0
547.88	4	47	10	4	0	0	0	0	0
558.5	4	48	10	4	0	0	0	0	1
568.73	4	49	10	4	0	0	0	0	0
574	4	50	10	4	0	0	0	0	0
