onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0221	3	1	7	1	0.5	1	0	0	1
14.694	3	2	7	1	0.5	1	0	0	0
26.084	3	3	7	1	0.5	1	0	1	0
36.827	3	4	7	1	0.5	1	0	0	0
41.326	3	5	7	1	0.5	1	0	0	0
60.351	3	6	8	1	0.5	-1	0	1	0
73.466	3	7	8	1	0.5	-1	0	0	0
81.722	3	8	8	1	0.5	-1	0	0	1
92.499	3	9	8	1	0.5	-1	0	0	0
98.145	3	10	8	1	0.5	-1	0	0	0
117.17	3	11	6	3	-0.25	1	0	0	1
127.35	3	12	6	3	-0.25	1	0	0	0
135.24	3	13	6	3	-0.25	1	0	1	0
145.72	3	14	6	3	-0.25	1	0	0	0
150.18	3	15	6	3	-0.25	1	0	0	0
169.21	3	16	5	3	-0.25	1	1	0	0
182.67	3	17	5	3	-0.25	1	0	0	0
194.08	3	18	5	3	-0.25	1	0	0	1
204.34	3	19	5	3	-0.25	1	0	0	0
208.85	3	20	5	3	-0.25	1	0	0	0
227.88	3	21	8	2	0	1	0	1	0
241.11	3	22	8	2	0	1	0	0	0
249.3	3	23	8	2	0	1	1	0	0
259.63	3	24	8	2	0	1	0	0	0
264.11	3	25	8	2	0	1	0	0	0
283.14	3	26	7	2	0	1	0	0	1
296.04	3	27	7	2	0	1	0	0	0
307.41	3	28	7	2	0	1	0	1	0
317.79	3	29	7	2	0	1	0	0	0
323.33	3	30	7	2	0	1	0	0	0
342.36	3	31	8	3	-0.25	1	0	1	0
355.14	3	32	8	3	-0.25	1	0	0	0
363.88	3	33	8	3	-0.25	1	1	0	0
374.45	3	34	8	3	-0.25	1	0	0	0
378.97	3	35	8	3	-0.25	1	0	0	0
397.99	3	36	7	3	-0.25	1	0	0	1
411.52	3	37	7	3	-0.25	1	0	0	0
423.41	3	38	7	3	-0.25	1	0	1	0
433.71	3	39	7	3	-0.25	1	0	0	0
438.3	3	40	7	3	-0.25	1	0	0	0
457.33	3	41	5	4	-0.375	1	1	0	0
470.5	3	42	5	4	-0.375	1	0	0	0
482.2	3	43	5	4	-0.375	1	0	0	1
492.63	3	44	5	4	-0.375	1	0	0	0
497.37	3	45	5	4	-0.375	1	0	0	0
516.4	3	46	6	4	-0.375	1	0	0	1
526.61	3	47	6	4	-0.375	1	0	0	0
534.8	3	48	6	4	-0.375	1	0	1	0
545.28	3	49	6	4	-0.375	1	0	0	0
549.85	3	50	6	4	-0.375	1	0	0	0
