onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0238	4	1	9	1	0.5	-1	1	0	0
19.421	4	2	9	1	0.5	-1	0	0	0
30.976	4	3	9	1	0.5	-1	0	1	0
42.167	4	4	9	1	0.5	-1	0	0	0
48.576	4	5	9	1	0.5	-1	0	0	0
64.62	4	6	10	1	0.5	-1	0	1	0
79.702	4	7	10	1	0.5	-1	0	0	0
95.982	4	8	10	1	0.5	-1	1	0	0
107.36	4	9	10	1	0.5	-1	0	0	0
113	4	10	10	1	0.5	-1	0	0	0
129.05	4	11	7	4	-0.375	1	0	0	1
146.96	4	12	7	4	-0.375	1	0	0	0
163.11	4	13	7	4	-0.375	1	0	1	0
173.97	4	14	7	4	-0.375	1	0	0	0
179.2	4	15	7	4	-0.375	1	0	0	0
195.24	4	16	8	4	-0.375	1	0	1	0
213.56	4	17	8	4	-0.375	1	0	0	0
226.37	4	18	8	4	-0.375	1	1	0	0
237.62	4	19	8	4	-0.375	1	0	0	0
242.96	4	20	8	4	-0.375	1	0	0	0
259.01	4	21	9	2	0	0	1	0	0
277.07	4	22	9	2	0	0	0	0	0
288.51	4	23	9	2	0	0	0	0	1
299.79	4	24	9	2	0	0	0	0	0
306	4	25	9	2	0	0	0	0	0
322.04	4	26	10	2	0	0	0	1	0
336.01	4	27	10	2	0	0	0	0	0
351.99	4	28	10	2	0	0	1	0	0
362.97	4	29	10	2	0	0	0	0	0
368.37	4	30	10	2	0	0	0	0	0
384.41	4	31	9	3	0	0	1	0	0
402.49	4	32	9	3	0	0	0	0	0
414.16	4	33	9	3	0	0	0	1	0
425.14	4	34	9	3	0	0	0	0	0
430.7	4	35	9	3	0	0	0	0	0
446.75	4	36	10	3	0	0	0	1	0
460.22	4	37	10	3	0	0	0	0	0
476.32	4	38	10	3	0	0	0	0	1
487.64	4	39	10	3	0	0	0	0	0
493.29	4	40	10	3	0	0	0	0	0
509.33	4	41	9	4	0	0	1	0	0
527.23	4	42	9	4	0	0	0	0	0
538.52	4	43	9	4	0	0	0	1	0
549.63	4	44	9	4	0	0	0	0	0
555.01	4	45	9	4	0	0	0	0	0
571.05	4	46	10	4	0	0	0	1	0
585.16	4	47	10	4	0	0	0	0	0
601.29	4	48	10	4	0	0	1	0	0
612.36	4	49	10	4	0	0	0	0	0
617.73	4	50	10	4	0	0	0	0	0
