onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0187	4	1	9	1	0.5	-1	1	0	0
19.88	4	2	9	1	0.5	-1	0	0	0
32.132	4	3	9	1	0.5	-1	0	1	0
43.207	4	4	9	1	0.5	-1	0	0	0
48.82	4	5	9	1	0.5	-1	0	0	0
64.863	4	6	10	1	0.5	-1	0	1	0
79.78	4	7	10	1	0.5	-1	0	0	0
97.022	4	8	10	1	0.5	-1	1	0	0
108.49	4	9	10	1	0.5	-1	0	0	0
114.04	4	10	10	1	0.5	-1	0	0	0
130.08	4	11	7	4	-0.375	1	1	0	0
148.88	4	12	7	4	-0.375	1	0	0	0
165.86	4	13	7	4	-0.375	1	0	0	1
177.02	4	14	7	4	-0.375	1	0	0	0
182.33	4	15	7	4	-0.375	1	0	0	0
198.37	4	16	8	4	-0.375	1	0	1	0
217.8	4	17	8	4	-0.375	1	0	0	0
229.7	4	18	8	4	-0.375	1	1	0	0
240.96	4	19	8	4	-0.375	1	0	0	0
246.92	4	20	8	4	-0.375	1	0	0	0
262.95	4	21	9	2	0	0	1	0	0
281.89	4	22	9	2	0	0	0	0	0
294.33	4	23	9	2	0	0	0	0	1
305.6	4	24	9	2	0	0	0	0	0
311.1	4	25	9	2	0	0	0	0	0
327.14	4	26	10	2	0	0	0	1	0
341.94	4	27	10	2	0	0	0	0	0
358.62	4	28	10	2	0	0	0	0	1
369.96	4	29	10	2	0	0	0	0	0
375.92	4	30	10	2	0	0	0	0	0
391.97	4	31	9	3	0	0	1	0	0
411.19	4	32	9	3	0	0	0	0	0
423.64	4	33	9	3	0	0	0	1	0
434.62	4	34	9	3	0	0	0	0	0
440.28	4	35	9	3	0	0	0	0	0
456.33	4	36	10	3	0	0	0	1	0
475.02	4	37	10	3	0	0	0	0	0
491.72	4	38	10	3	0	0	1	0	0
503.04	4	39	10	3	0	0	0	0	0
508.57	4	40	10	3	0	0	0	0	0
524.61	4	41	9	4	0	0	1	0	0
543.3	4	42	9	4	0	0	0	0	0
555.61	4	43	9	4	0	0	0	1	0
566.8	4	44	9	4	0	0	0	0	0
572.93	4	45	9	4	0	0	0	0	0
588.98	4	46	10	4	0	0	0	1	0
603.44	4	47	10	4	0	0	0	0	0
620.47	4	48	10	4	0	0	1	0	0
631.71	4	49	10	4	0	0	0	0	0
637.26	4	50	10	4	0	0	0	0	0
