onsets	block	event	sequenceid	repetition	decay	reward	stimface	stimscene	stimobj
1.0297	3	1	7	1	0.5	1	0	0	1
21.532	3	2	7	1	0.5	1	0	0	0
37.896	3	3	7	1	0.5	1	1	0	0
49.319	3	4	7	1	0.5	1	0	0	0
55.181	3	5	7	1	0.5	1	0	0	0
71.222	3	6	8	1	0.5	-1	0	1	0
90.766	3	7	8	1	0.5	-1	0	0	0
102.24	3	8	8	1	0.5	-1	1	0	0
113.53	3	9	8	1	0.5	-1	0	0	0
119.77	3	10	8	1	0.5	-1	0	0	0
135.81	3	11	6	3	-0.25	1	0	1	0
149.74	3	12	6	3	-0.25	1	0	0	0
161.11	3	13	6	3	-0.25	1	1	0	0
172.07	3	14	6	3	-0.25	1	0	0	0
177.72	3	15	6	3	-0.25	1	0	0	0
193.76	3	16	5	3	-0.25	1	1	0	0
212.52	3	17	5	3	-0.25	1	0	0	0
229.27	3	18	5	3	-0.25	1	0	1	0
241.83	3	19	5	3	-0.25	1	0	0	0
247.68	3	20	5	3	-0.25	1	0	0	0
263.72	3	21	8	2	0	1	0	1	0
283.06	3	22	8	2	0	1	0	0	0
294.4	3	23	8	2	0	1	0	0	1
305.49	3	24	8	2	0	1	0	0	0
311.26	3	25	8	2	0	1	0	0	0
327.3	3	26	7	2	0	-1	0	0	1
348.05	3	27	7	2	0	-1	0	0	0
364.28	3	28	7	2	0	-1	0	1	0
375.66	3	29	7	2	0	-1	0	0	0
381.6	3	30	7	2	0	-1	0	0	0
397.64	3	31	8	3	-0.25	1	0	1	0
417.17	3	32	8	3	-0.25	1	0	0	0
429.16	3	33	8	3	-0.25	1	0	0	1
440.61	3	34	8	3	-0.25	1	0	0	0
446.94	3	35	8	3	-0.25	1	0	0	0
462.98	3	36	7	3	-0.25	1	0	0	1
481.71	3	37	7	3	-0.25	1	0	0	0
498.74	3	38	7	3	-0.25	1	1	0	0
509.68	3	39	7	3	-0.25	1	0	0	0
515.79	3	40	7	3	-0.25	1	0	0	0
531.83	3	41	5	4	-0.375	1	1	0	0
551.26	3	42	5	4	-0.375	1	0	0	0
567.42	3	43	5	4	-0.375	1	0	1	0
578.52	3	44	5	4	-0.375	1	0	0	0
584.23	3	45	5	4	-0.375	1	0	0	0
600.27	3	46	6	4	-0.375	1	0	1	0
619.17	3	47	6	4	-0.375	1	0	0	0
630.51	3	48	6	4	-0.375	1	1	0	0
641.4	3	49	6	4	-0.375	1	0	0	0
647.44	3	50	6	4	-0.375	1	0	0	0
